year,ccode1,ccode2,onset,sd_w5,same_top5,ally_ff,regime_dist,ln_capdist,py,py2,py3,dyad_id
2015,2,835,0,0,0,0,,9.615025175726071,70,49.0,343.0,2_835
2015,2,840,0,0,0,1,0.378,9.53091548772999,70,49.0,343.0,2_840
2015,2,850,0,0,0,0,0.246,9.702655732983077,12,1.44,1.728,2_850
2015,2,860,0,0,0,0,0.256,9.677759414052186,70,49.0,343.0,2_860
2015,2,900,0,0,0,1,0.03500000000000003,9.676913122482459,70,49.0,343.0,2_900
2015,2,910,0,0,0,0,0.456,9.584940692081192,70,49.0,343.0,2_910
2015,2,920,0,0,0,0,0.017000000000000015,9.552737876616773,70,49.0,343.0,2_920
2015,20,200,0,1,1,1,0.04799999999999993,8.587166915043747,70,49.0,343.0,20_200
2015,20,220,0,1,1,1,0.07599999999999996,8.639410824140487,27,7.29,19.683,20_220
2015,20,255,0,1,1,1,0.07599999999999996,8.720933715583492,70,49.0,343.0,20_255
2015,20,365,0,0,0,0,0.542,8.876237326603665,1,0.01,0.001,20_365
2015,20,710,0,0,0,0,0.7250000000000001,9.254558194141616,62,38.44,238.328,20_710
2015,20,740,0,1,1,0,0.009999999999999898,9.242081257760246,70,49.0,343.0,20_740
2015,31,42,0,0,0,1,,6.96659006470303,70,49.0,343.0,31_42
2015,31,51,0,0,0,1,,6.6697518647609035,70,49.0,343.0,31_51
2015,31,200,0,0,0,0,,8.85225014127717,70,49.0,343.0,31_200
2015,31,220,0,0,0,0,,8.882905178000266,70,49.0,343.0,31_220
2015,31,255,0,0,0,0,,8.971257969360463,70,49.0,343.0,31_255
2015,31,365,0,0,0,0,,9.121082837899754,70,49.0,343.0,31_365
2015,31,710,0,0,0,0,,9.445657523422081,70,49.0,343.0,31_710
2015,31,740,0,0,0,0,,9.410853782342409,70,49.0,343.0,31_740
2015,42,51,0,0,0,1,0.20800000000000007,6.594139824503851,70,49.0,343.0,42_51
2015,42,100,0,0,0,1,0.09100000000000008,7.383865226659633,70,49.0,343.0,42_100
2015,42,101,0,0,0,1,0.29,6.854670907889681,56,31.36,175.616,42_101
2015,42,200,0,0,0,0,0.265,8.85631904693158,70,49.0,343.0,42_200
2015,42,220,0,0,0,0,0.29300000000000004,8.879528087563177,70,49.0,343.0,42_220
2015,42,255,0,0,0,0,0.29300000000000004,8.979781897943486,70,49.0,343.0,42_255
2015,42,365,0,0,0,0,0.32499999999999996,9.144307401371744,70,49.0,343.0,42_365
2015,42,710,0,0,0,0,0.508,9.509689123295011,70,49.0,343.0,42_710
2015,42,740,0,0,0,0,0.22699999999999998,9.490461431879083,70,49.0,343.0,42_740
2015,51,91,0,0,0,1,0.37200000000000005,7.086403430409783,4,0.16,0.064,51_91
2015,51,93,0,0,0,1,0.48000000000000004,7.0960589074536395,70,49.0,343.0,51_93
2015,51,100,0,0,1,1,0.11699999999999999,7.325478284485803,70,49.0,343.0,51_100
2015,51,200,0,1,1,0,0.05699999999999994,8.927539699415885,70,49.0,343.0,51_200
2015,51,220,0,1,1,0,0.08499999999999996,8.952450084332138,70,49.0,343.0,51_220
2015,51,255,0,1,1,0,0.08499999999999996,9.041187723230577,70,49.0,343.0,51_255
2015,51,365,0,0,0,0,0.533,9.18918823450062,70,49.0,343.0,51_365
2015,51,710,0,0,0,0,0.7160000000000001,9.505514310186259,70,49.0,343.0,51_710
2015,51,740,0,1,1,0,0.018999999999999906,9.466291810466352,70,49.0,343.0,51_740
2015,52,101,0,0,0,1,0.49100000000000005,6.375876246018314,16,2.56,4.096,52_101
2015,52,115,0,0,0,1,0.03400000000000003,6.780035537379766,70,49.0,343.0,52_115
2015,52,200,0,1,1,0,0.06399999999999995,8.870929822739429,70,49.0,343.0,52_200
2015,52,220,0,1,1,0,0.09199999999999997,8.884277766654131,70,49.0,343.0,52_220
2015,52,255,0,1,1,0,0.09199999999999997,8.993613688458051,70,49.0,343.0,52_255
2015,52,365,0,0,0,0,0.526,9.168788944817948,70,49.0,343.0,52_365
2015,52,710,0,0,0,0,0.7090000000000001,9.574177605374308,70,49.0,343.0,52_710
2015,52,740,0,1,1,0,0.025999999999999912,9.575059871535498,70,49.0,343.0,52_740
2015,70,90,0,0,0,1,0.05600000000000005,6.967249850767777,31,9.61,29.791,70_90
2015,70,91,0,0,0,1,0.21700000000000003,7.246510621617919,70,49.0,343.0,70_91
2015,70,200,0,0,1,0,0.21199999999999997,9.097272452666772,70,49.0,343.0,70_200
2015,70,220,0,0,1,0,0.24,9.126763091720836,70,49.0,343.0,70_220
2015,70,255,0,0,1,0,0.24,9.18284583766679,70,49.0,343.0,70_255
2015,70,365,0,0,0,0,0.378,9.280006350209286,70,49.0,343.0,70_365
2015,70,710,0,0,0,0,0.561,9.43022261098802,70,49.0,343.0,70_710
2015,70,740,0,0,1,0,0.17399999999999993,9.333150749346592,70,49.0,343.0,70_740
2015,90,91,0,0,0,1,0.16099999999999998,5.896879104618114,70,49.0,343.0,90_91
2015,90,92,0,0,0,1,0.07100000000000006,5.184588601219693,45,20.25,91.125,90_92
2015,90,93,0,0,0,1,0.26899999999999996,6.291383937224241,70,49.0,343.0,90_93
2015,90,200,0,0,0,0,0.268,9.079069280089087,38,14.44,54.872,90_200
2015,90,220,0,0,0,0,0.29600000000000004,9.104724268102915,70,49.0,343.0,90_220
2015,90,255,0,0,0,0,0.29600000000000004,9.17330287387362,70,49.0,343.0,90_255
2015,90,365,0,0,0,0,0.32199999999999995,9.289632028450594,70,49.0,343.0,90_365
2015,90,710,0,0,0,0,0.505,9.498814630565652,70,49.0,343.0,90_710
2015,90,740,0,0,0,0,0.22999999999999998,9.419401225959758,70,49.0,343.0,90_740
2015,91,92,0,0,0,1,0.23200000000000004,5.389984555073861,22,4.84,10.648,91_92
2015,91,93,0,0,0,1,0.10799999999999998,5.485626464853031,14,1.96,2.744,91_93
2015,91,200,0,0,0,0,0.429,9.058086225924615,70,49.0,343.0,91_200
2015,91,220,0,0,0,0,0.457,9.082791051029208,70,49.0,343.0,91_220
2015,91,255,0,0,0,0,0.457,9.155936983096796,70,49.0,343.0,91_255
2015,91,365,0,0,0,0,0.16099999999999998,9.279371909382265,70,49.0,343.0,91_365
2015,91,710,0,0,0,0,0.344,9.513034202048402,70,49.0,343.0,91_710
2015,91,740,0,0,0,0,0.39099999999999996,9.441840906230773,70,49.0,343.0,91_740
2015,92,93,0,0,0,1,0.34,5.895228939227156,70,49.0,343.0,92_93
2015,92,200,0,1,1,0,0.19699999999999995,9.077642917243061,70,49.0,343.0,92_200
2015,92,220,0,1,1,0,0.22499999999999998,9.102510142417428,70,49.0,343.0,92_220
2015,92,255,0,1,1,0,0.22499999999999998,9.172970744506179,70,49.0,343.0,92_255
2015,92,365,0,0,0,0,0.393,9.29207702872291,70,49.0,343.0,92_365
2015,92,710,0,0,0,0,0.5760000000000001,9.510104165620463,70,49.0,343.0,92_710
2015,92,740,0,1,1,0,0.15899999999999992,9.433331911737222,70,49.0,343.0,92_740
2015,93,100,0,0,0,1,0.36300000000000004,7.364293657274302,14,1.96,2.744,93_100
2015,93,200,0,0,0,0,0.5369999999999999,9.069813136839207,70,49.0,343.0,93_200
2015,93,220,0,0,0,0,0.565,9.09316590110668,70,49.0,343.0,93_220
2015,93,255,0,0,0,0,0.565,9.16758943490855,70,49.0,343.0,93_255
2015,93,365,0,0,0,0,0.05299999999999999,9.292629784686019,70,49.0,343.0,93_365
2015,93,710,0,0,1,0,0.236,9.530574335721687,70,49.0,343.0,93_710
2015,93,740,0,0,0,0,0.49899999999999994,9.460110274758103,70,49.0,343.0,93_740
2015,100,101,0,0,0,1,0.38100000000000006,6.9364399128420455,5,0.25,0.125,100_101
2015,100,130,0,0,0,1,0.14800000000000002,6.59468702013994,6,0.36,0.216,100_130
2015,100,135,0,0,0,1,0.1359999999999999,7.539665150070893,70,49.0,343.0,100_135
2015,100,140,0,0,0,1,0.17999999999999994,8.206529042572532,70,49.0,343.0,100_140
2015,100,200,0,0,1,0,0.17399999999999993,9.047986134798236,70,49.0,343.0,100_200
2015,100,220,0,0,1,0,0.20199999999999996,9.063219922070125,70,49.0,343.0,100_220
2015,100,255,0,0,1,0,0.20199999999999996,9.151905850139013,70,49.0,343.0,100_255
2015,100,365,0,0,0,0,0.41600000000000004,9.297416746853404,2,0.04,0.008,100_365
2015,100,710,0,0,0,0,0.5990000000000001,9.612546843156093,62,38.44,238.328,100_710
2015,100,740,0,0,1,0,0.1359999999999999,9.569300702428594,70,49.0,343.0,100_740
2015,101,140,0,0,0,1,0.5609999999999999,8.185991043450537,70,49.0,343.0,101_140
2015,101,200,0,0,0,0,0.5549999999999999,8.922311572754955,33,10.89,35.937,101_200
2015,101,220,0,0,0,0,0.583,8.938229765848313,70,49.0,343.0,101_220
2015,101,255,0,0,0,0,0.583,9.039457147323057,70,49.0,343.0,101_255
2015,101,365,0,0,0,0,0.034999999999999976,9.203577555596794,47,22.09,103.823,101_365
2015,101,710,0,0,1,0,0.21799999999999997,9.575136251672534,70,49.0,343.0,101_710
2015,101,740,0,0,0,0,0.5169999999999999,9.559086969472784,70,49.0,343.0,101_740
2015,115,140,0,0,1,1,0.10399999999999998,7.838501031825877,70,49.0,343.0,115_140
2015,115,200,0,0,0,0,0.09799999999999998,8.873902134776984,70,49.0,343.0,115_200
2015,115,220,0,0,0,0,0.126,8.880070858631496,70,49.0,343.0,115_220
2015,115,255,0,0,0,0,0.126,8.993775136022096,70,49.0,343.0,115_255
2015,115,365,0,0,0,0,0.492,9.174049761875144,70,49.0,343.0,115_365
2015,115,710,0,0,0,0,0.675,9.605977341765367,70,49.0,343.0,115_710
2015,115,740,0,0,0,0,0.05999999999999994,9.625194597381032,70,49.0,343.0,115_740
2015,130,135,0,0,0,1,0.2839999999999999,7.189092263874078,17,2.89,4.913,130_135
2015,130,200,0,0,0,0,0.32199999999999995,9.130127649851008,70,49.0,343.0,130_200
2015,130,220,0,0,0,0,0.35,9.144392858675191,70,49.0,343.0,130_220
2015,130,255,0,0,0,0,0.35,9.22619403589935,70,49.0,343.0,130_255
2015,130,365,0,0,0,0,0.268,9.36107665796077,70,49.0,343.0,130_365
2015,130,710,0,0,0,0,0.451,9.639001037687535,70,49.0,343.0,130_710
2015,130,740,0,0,0,0,0.2839999999999999,9.577549634629815,70,49.0,343.0,130_740
2015,135,140,0,0,0,1,0.04400000000000004,8.060350574848302,12,1.44,1.728,135_140
2015,135,145,0,0,0,1,0.20799999999999996,6.983048263017569,70,49.0,343.0,135_145
2015,135,155,0,0,0,1,0.06900000000000006,7.811487481608896,38,14.44,54.872,135_155
2015,135,200,0,0,0,0,0.038000000000000034,9.227217154532621,70,49.0,343.0,135_200
2015,135,220,0,0,0,0,0.06600000000000006,9.235403647569852,70,49.0,343.0,135_220
2015,135,255,0,0,0,0,0.06600000000000006,9.314502169458368,70,49.0,343.0,135_255
2015,135,365,0,0,0,0,0.5519999999999999,9.444961799722812,70,49.0,343.0,135_365
2015,135,710,0,0,1,0,0.735,9.720099427160065,70,49.0,343.0,135_710
2015,135,740,0,0,0,0,0.0,9.648162951392374,70,49.0,343.0,135_740
2015,140,145,0,0,1,1,0.252,7.678511438869065,70,49.0,343.0,140_145
2015,140,150,0,0,0,1,0.268,7.28851777444993,70,49.0,343.0,140_150
2015,140,160,0,0,0,1,0.09599999999999997,7.75824803026586,70,49.0,343.0,140_160
2015,140,165,0,0,0,1,0.03600000000000003,7.72903178725261,70,49.0,343.0,140_165
2015,140,200,0,0,0,0,0.006000000000000005,9.081859063327633,70,49.0,343.0,140_200
2015,140,220,0,0,0,0,0.02200000000000002,9.074131111347196,52,27.04,140.608,140_220
2015,140,255,0,0,0,0,0.02200000000000002,9.168914028207036,70,49.0,343.0,140_255
2015,140,365,0,0,0,0,0.596,9.321854912717576,47,22.09,103.823,140_365
2015,140,710,0,0,0,0,0.779,9.737031470851715,70,49.0,343.0,140_710
2015,140,740,0,0,0,0,0.04400000000000004,9.77999135279331,70,49.0,343.0,140_740
2015,145,150,0,0,0,1,0.016000000000000014,7.290429298789486,70,49.0,343.0,145_150
2015,145,155,0,0,0,1,0.277,7.551239414522982,37,13.69,50.653,145_155
2015,145,160,0,0,0,1,0.15600000000000003,7.7124885559941,70,49.0,343.0,145_160
2015,145,200,0,0,0,0,0.246,9.21054035197885,70,49.0,343.0,145_200
2015,145,220,0,0,0,0,0.274,9.213266087892386,70,49.0,343.0,145_220
2015,145,255,0,0,0,0,0.274,9.296701537624227,70,49.0,343.0,145_255
2015,145,365,0,0,0,0,0.344,9.433627912923388,70,49.0,343.0,145_365
2015,145,710,0,0,0,0,0.527,9.762868242726526,70,49.0,343.0,145_710
2015,145,740,0,0,0,0,0.20799999999999996,9.713149952947095,70,49.0,343.0,145_740
2015,150,160,0,0,0,1,0.17200000000000004,6.945243723393129,53,28.09,148.877,150_160
2015,150,200,0,0,0,0,0.262,9.23151460720759,70,49.0,343.0,150_200
2015,150,220,0,0,0,0,0.29000000000000004,9.226508953137767,70,49.0,343.0,150_220
2015,150,255,0,0,0,0,0.29000000000000004,9.308881689664,70,49.0,343.0,150_255
2015,150,365,0,0,0,0,0.32799999999999996,9.443798544217517,70,49.0,343.0,150_365
2015,150,710,0,0,0,0,0.511,9.814629016051876,70,49.0,343.0,150_710
2015,150,740,0,0,0,0,0.22399999999999998,9.79805481204793,70,49.0,343.0,150_740
2015,155,160,0,0,1,1,0.121,7.035356623575859,31,9.61,29.791,155_160
2015,155,200,0,0,1,0,0.031000000000000028,9.365076594625492,19,3.61,6.859,155_200
2015,155,220,0,0,1,0,0.0030000000000000027,9.362958449396695,70,49.0,343.0,155_220
2015,155,255,0,0,1,0,0.0030000000000000027,9.435585712982174,70,49.0,343.0,155_255
2015,155,365,0,0,0,0,0.621,9.55616870352142,70,49.0,343.0,155_365
2015,155,710,0,0,0,0,0.804,9.855515053987032,70,49.0,343.0,155_710
2015,155,740,0,0,1,0,0.06900000000000006,9.754883130414084,70,49.0,343.0,155_740
